N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"60,200",300,+0.50%,100,"3,593,809","5,969,783",49.72,"10,743,984",9.45,13.92,
2,LG에너지솔루션,"460,500","11,500",-2.44%,500,"1,077,570","234,000",4.03,"429,111",146.75,10.68,
3,SK하이닉스,"93,300",0,0.00%,"5,000","679,226","728,002",49.83,"1,892,675",6.41,16.84,
4,삼성바이오로직스,"910,000","6,000",+0.66%,"2,500","647,683","71,174",10.78,"35,990",127.06,8.21,
5,LG화학,"665,000","7,000",+1.06%,"5,000","469,439","70,592",47.79,"180,919",17.06,18.47,
6,삼성전자우,"55,100",500,+0.92%,100,"453,411","822,887",71.89,"963,459",8.65,N/A,
7,NAVER,"265,500","2,000",-0.75%,100,"435,550","164,049",53.26,"392,911",32.28,106.72,
8,삼성SDI,"623,000","4,000",+0.65%,"5,000","428,403","68,765",43.53,"169,896",31.50,8.45,
9,현대차,"196,000","3,000",+1.55%,"5,000","418,790","213,668",27.80,"623,499",10.44,6.84,
10,카카오,"82,500","1,200",-1.43%,100,"367,248","445,150",29.09,"1,061,697",14.86,17.10,
11,기아,"82,400","1,600",+1.98%,"5,000","334,019","405,363",36.42,"1,502,107",7.02,14.69,
12,셀트리온,"208,000","4,500",-2.12%,"1,000","292,847","140,792",20.92,"421,968",58.00,16.04,
13,삼성물산,"124,000",0,0.00%,100,"231,740","186,887",16.30,"559,919",17.64,5.40,
14,POSCO홀딩스,"259,500","2,500",+0.97%,"5,000","226,250","87,187",52.95,"300,054",3.10,13.97,
15,KB금융,"52,200",0,0.00%,"5,000","215,248","412,352",72.97,"1,079,927",4.72,9.80,
16,현대모비스,"226,500","1,500",+0.67%,"5,000","214,208","94,573",34.65,"191,639",9.44,6.87,
17,신한지주,"36,100",200,-0.55%,"5,000","185,169","512,934",61.73,"1,180,749",4.56,8.80,
18,SK이노베이션,"199,500","1,000",+0.50%,"5,000","184,469","92,466",25.57,"315,448",12.68,1.91,
19,SK,"230,000","1,500",+0.66%,200,"170,543","74,149",22.26,"96,882",5.61,10.19,
